抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率
2026-09-15,北屯北屯,新案場招租,一房型,一般戶,119,658,810,1587,0.8468468468468469
2026-09-15,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.32608695652173914
2026-09-15,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-09-15,北屯北屯,新案場招租,三房型,關懷戶,22,4,115,141,0.15384615384615385
2026-09-15,北屯北屯,新案場招租,二房型,一般戶,40,215,225,480,0.8431372549019608
2026-09-15,北屯北屯,新案場招租,二房型,關懷戶,31,1,182,214,0.03125
2026-09-15,南屯建功1號,新案場招租,三房型,一般戶,43,18,0,61,0.29508196721311475
2026-09-15,南屯建功1號,新案場招租,三房型,關懷戶,35,1,0,36,0.027777777777777776
2026-09-15,南屯建功1號,新案場招租,二房型,一般戶,55,193,33,281,0.7782258064516129
2026-09-15,南屯建功1號,新案場招租,二房型,關懷戶,39,47,0,86,0.5465116279069767
2026-09-15,南屯建功1號,隨到隨辦,三房型,一般戶,3,1,19,23,0.25
2026-09-15,南屯建功1號,隨到隨辦,三房型,關懷戶,2,1,42,45,0.3333333333333333
2026-09-15,南屯建功1號,隨到隨辦,二房型,一般戶,0,3,99,102,1.0
2026-09-15,南屯建功1號,隨到隨辦,二房型,關懷戶,0,3,51,54,1.0
2026-09-15,南屯建功2、3號,隨到隨辦,一房型,一般戶,7,46,737,790,0.8679245283018868
2026-09-15,南屯建功2、3號,隨到隨辦,一房型,關懷戶,8,15,167,190,0.6521739130434783
2026-09-15,南屯建功2、3號,隨到隨辦,三房型,一般戶,1,12,73,86,0.9230769230769231
2026-09-15,南屯建功2、3號,隨到隨辦,三房型,關懷戶,0,15,174,189,1.0
2026-09-15,南屯建功2、3號,隨到隨辦,二房型,一般戶,7,22,320,349,0.7586206896551724
2026-09-15,南屯建功2、3號,隨到隨辦,二房型,關懷戶,4,25,181,210,0.8620689655172413
2026-09-15,南屯建功5號,新案場招租,一房型,一般戶,7,0,372,379,0.0
2026-09-15,南屯建功5號,新案場招租,一房型,關懷戶,9,0,75,84,0.0
2026-09-15,南屯建功5號,新案場招租,三房型,一般戶,1,0,44,45,0.0
2026-09-15,南屯建功5號,新案場招租,三房型,關懷戶,2,0,92,94,0.0
2026-09-15,南屯建功5號,新案場招租,二房型,一般戶,17,0,146,163,0.0
2026-09-15,南屯建功5號,新案場招租,二房型,關懷戶,9,0,99,108,0.0
2026-09-15,南屯精科,隨到隨辦,一房型,一般戶,1117,696,1113,2927,0.38389409817981246
2026-09-15,南屯精科,隨到隨辦,一房型,關懷戶,272,161,323,757,0.371824480369515
2026-09-15,南屯精科,隨到隨辦,三房型,一般戶,161,107,110,378,0.39925373134328357
2026-09-15,南屯精科,隨到隨辦,三房型,關懷戶,111,97,214,422,0.46634615384615385
2026-09-15,南屯精科,隨到隨辦,二房型,一般戶,225,260,670,1155,0.5360824742268041
