抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率
2026-06-22,北屯北屯,新案場招租,一房型,一般戶,109,505,973,1587,0.8224755700325733
2026-06-23,北屯北屯,新案場招租,一房型,一般戶,109,505,973,1587,0.8224755700325733
2026-06-24,北屯北屯,新案場招租,一房型,一般戶,109,505,973,1587,0.8224755700325733
2026-07-09,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-10,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-11,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-12,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-13,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-14,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-15,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-16,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-17,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-18,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-19,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-20,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-21,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-22,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-07-23,北屯北屯,新案場招租,一房型,一般戶,110,506,971,1587,0.8214285714285714
2026-06-22,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-06-23,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-06-24,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-09,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-10,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-11,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-12,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-13,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-14,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-15,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-16,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-17,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-18,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-19,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-20,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-21,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-22,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391
2026-07-23,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.32608695652173914
2026-06-22,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-06-23,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-06-24,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-09,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-10,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-11,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-12,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-13,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-14,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-15,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-16,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-17,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-18,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-19,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-20,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-21,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-22,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-07-23,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286
2026-06-22,北屯北屯,新案場招租,三房型,關懷戶,22,0,119,141,0.0
