社會住宅,遞補類型,名冊網址
豐原安康一期,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC001&Kind=AK04
大里光正一期,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC002&Kind=AK04
太平育賢一期,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC003&Kind=AK04
南屯精科,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC004&Kind=AK04
梧棲三民,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC005&Kind=AK04
北屯北屯,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC007&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
西屯國安一期,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC009&Kind=AK04
烏日高鐵,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC014&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
太平育賢二期,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC016&Kind=AK04
太平育賢三期,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC017&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
東區恊園,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC018&Kind=AK04
東區台中公園一期,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC019&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
太平長億,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC020&Kind=AK04
南屯建功1號,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC022&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
南屯建功1號,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC022&Kind=AK04
南屯建功5號,新案場招租,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=GOVTC025&Kind=AK01&IDENT=%E4%B8%80%E8%88%AC%E6%88%B6
南屯建功2、3號,隨到隨辦,https://17zu.taichung.gov.tw/Portal/applyRent/ApplicationQueue?BuildingNo=VIRTUAL001&Kind=AK04
