事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-06-24,南屯建功2、3號,隨到隨辦,一房型,一般戶,名冊總人數變化,650,656,6,南屯建功2、3號／隨到隨辦／一房型／一般戶 名冊總人數增加 6 人
2026-06-24,南屯建功2、3號,隨到隨辦,一房型,一般戶,已放棄人數變化,34,35,1,南屯建功2、3號／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-06-24,南屯建功2、3號,隨到隨辦,一房型,一般戶,待遞補人數變化,611,616,5,南屯建功2、3號／隨到隨辦／一房型／一般戶 待遞補人數增加 5 人
2026-06-24,南屯建功2、3號,隨到隨辦,三房型,一般戶,名冊總人數變化,77,79,2,南屯建功2、3號／隨到隨辦／三房型／一般戶 名冊總人數增加 2 人
2026-06-24,南屯建功2、3號,隨到隨辦,三房型,一般戶,已放棄人數變化,4,6,2,南屯建功2、3號／隨到隨辦／三房型／一般戶 已放棄人數增加 2 人
2026-06-24,南屯建功2、3號,隨到隨辦,三房型,關懷戶,名冊總人數變化,152,154,2,南屯建功2、3號／隨到隨辦／三房型／關懷戶 名冊總人數增加 2 人
2026-06-24,南屯建功2、3號,隨到隨辦,三房型,關懷戶,已放棄人數變化,12,13,1,南屯建功2、3號／隨到隨辦／三房型／關懷戶 已放棄人數增加 1 人
2026-06-24,南屯建功2、3號,隨到隨辦,三房型,關懷戶,待遞補人數變化,140,141,1,南屯建功2、3號／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-06-24,南屯建功2、3號,隨到隨辦,二房型,一般戶,名冊總人數變化,271,274,3,南屯建功2、3號／隨到隨辦／二房型／一般戶 名冊總人數增加 3 人
2026-06-24,南屯建功2、3號,隨到隨辦,二房型,一般戶,待遞補人數變化,255,258,3,南屯建功2、3號／隨到隨辦／二房型／一般戶 待遞補人數增加 3 人
2026-06-24,南屯建功2、3號,隨到隨辦,二房型,關懷戶,名冊總人數變化,165,167,2,南屯建功2、3號／隨到隨辦／二房型／關懷戶 名冊總人數增加 2 人
2026-06-24,南屯建功2、3號,隨到隨辦,二房型,關懷戶,待遞補人數變化,145,147,2,南屯建功2、3號／隨到隨辦／二房型／關懷戶 待遞補人數增加 2 人
2026-06-24,南屯精科,隨到隨辦,一房型,一般戶,名冊總人數變化,2844,2847,3,南屯精科／隨到隨辦／一房型／一般戶 名冊總人數增加 3 人
2026-06-24,南屯精科,隨到隨辦,一房型,一般戶,已遞補人數變化,765,764,-1,南屯精科／隨到隨辦／一房型／一般戶 已遞補人數減少 1 人
