抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率,已處理人數,上次已處理人數,本次推進人數,本週推進人數,最近4次平均推進人數
2026-06-22,北屯北屯,新案場招租,一房型,一般戶,109,505,973,1587,0.8224755700325733,614,,,,
2026-06-23,北屯北屯,新案場招租,一房型,一般戶,109,505,973,1587,0.8224755700325733,614,614.0,0.0,0.0,0.0
2026-06-22,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391,92,,,,
2026-06-23,北屯北屯,新案場招租,一房型,關懷戶,62,30,192,284,0.3260869565217391,92,92.0,0.0,0.0,0.0
2026-06-22,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286,112,,,,
2026-06-23,北屯北屯,新案場招租,三房型,一般戶,15,97,0,112,0.8660714285714286,112,112.0,0.0,0.0,0.0
2026-06-22,北屯北屯,新案場招租,三房型,關懷戶,22,0,119,141,0.0,22,,,,
2026-06-23,北屯北屯,新案場招租,三房型,關懷戶,22,0,119,141,0.0,22,22.0,0.0,0.0,0.0
2026-06-22,北屯北屯,新案場招租,二房型,一般戶,37,198,245,480,0.8425531914893617,235,,,,
2026-06-23,北屯北屯,新案場招租,二房型,一般戶,37,198,245,480,0.8425531914893617,235,235.0,0.0,0.0,0.0
2026-06-22,北屯北屯,新案場招租,二房型,關懷戶,31,1,182,214,0.03125,32,,,,
2026-06-23,北屯北屯,新案場招租,二房型,關懷戶,31,1,182,214,0.03125,32,32.0,0.0,0.0,0.0
2026-06-22,南屯建功1號,新案場招租,三房型,一般戶,42,12,7,61,0.2222222222222222,54,,,,
2026-06-23,南屯建功1號,新案場招租,三房型,一般戶,42,12,7,61,0.2222222222222222,54,54.0,0.0,0.0,0.0
2026-06-22,南屯建功1號,新案場招租,三房型,關懷戶,35,1,0,36,0.0277777777777777,36,,,,
2026-06-23,南屯建功1號,新案場招租,三房型,關懷戶,35,1,0,36,0.0277777777777777,36,36.0,0.0,0.0,0.0
2026-06-22,南屯建功1號,新案場招租,二房型,一般戶,46,28,207,281,0.3783783783783784,74,,,,
2026-06-23,南屯建功1號,新案場招租,二房型,一般戶,46,28,207,281,0.3783783783783784,74,74.0,0.0,0.0,0.0
2026-06-22,南屯建功1號,新案場招租,二房型,關懷戶,39,36,11,86,0.48,75,,,,
2026-06-23,南屯建功1號,新案場招租,二房型,關懷戶,39,36,11,86,0.48,75,75.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,一房型,一般戶,5,34,611,650,0.8717948717948718,39,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,一房型,一般戶,5,34,617,656,0.8717948717948718,39,39.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,一房型,關懷戶,6,12,127,145,0.6666666666666666,18,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,一房型,關懷戶,6,12,127,145,0.6666666666666666,18,18.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,三房型,一般戶,1,4,72,77,0.8,5,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,三房型,一般戶,1,4,74,79,0.8,5,5.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,三房型,關懷戶,0,12,140,152,1.0,12,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,三房型,關懷戶,0,12,142,154,1.0,12,12.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,二房型,一般戶,2,14,255,271,0.875,16,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,二房型,一般戶,2,14,257,273,0.875,16,16.0,0.0,0.0,0.0
2026-06-22,南屯建功2、3號,隨到隨辦,二房型,關懷戶,4,16,145,165,0.8,20,,,,
2026-06-23,南屯建功2、3號,隨到隨辦,二房型,關懷戶,4,16,147,167,0.8,20,20.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,一房型,一般戶,765,646,1433,2844,0.4578313253012048,1411,,,,
2026-06-23,南屯精科,隨到隨辦,一房型,一般戶,765,646,1437,2848,0.4578313253012048,1411,1411.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,一房型,關懷戶,226,153,353,733,0.4036939313984168,379,,,,
2026-06-23,南屯精科,隨到隨辦,一房型,關懷戶,226,153,353,733,0.4036939313984168,379,379.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,三房型,一般戶,136,104,144,384,0.4333333333333333,240,,,,
2026-06-23,南屯精科,隨到隨辦,三房型,一般戶,136,104,144,384,0.4333333333333333,240,240.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,三房型,關懷戶,87,91,254,432,0.5112359550561798,178,,,,
2026-06-23,南屯精科,隨到隨辦,三房型,關懷戶,87,91,255,433,0.5112359550561798,178,178.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,二房型,一般戶,129,245,772,1146,0.6550802139037433,374,,,,
2026-06-23,南屯精科,隨到隨辦,二房型,一般戶,129,245,772,1146,0.6550802139037433,374,374.0,0.0,0.0,0.0
2026-06-22,南屯精科,隨到隨辦,二房型,關懷戶,104,134,436,675,0.5630252100840336,238,,,,
2026-06-23,南屯精科,隨到隨辦,二房型,關懷戶,104,134,437,676,0.5630252100840336,238,238.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,一房型,一般戶,749,358,289,1396,0.3233965672990063,1107,,,,
2026-06-23,大里光正一期,隨到隨辦,一房型,一般戶,749,358,291,1398,0.3233965672990063,1107,1107.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,一房型,關懷戶,200,138,175,513,0.408284023668639,338,,,,
2026-06-23,大里光正一期,隨到隨辦,一房型,關懷戶,200,138,178,516,0.408284023668639,338,338.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,三房型,一般戶,8,57,200,265,0.8769230769230769,65,,,,
2026-06-23,大里光正一期,隨到隨辦,三房型,一般戶,8,57,200,265,0.8769230769230769,65,65.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,三房型,關懷戶,12,76,362,450,0.8636363636363636,88,,,,
2026-06-23,大里光正一期,隨到隨辦,三房型,關懷戶,12,76,363,451,0.8636363636363636,88,88.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,二房型,一般戶,134,178,429,741,0.5705128205128205,312,,,,
2026-06-23,大里光正一期,隨到隨辦,二房型,一般戶,134,178,430,742,0.5705128205128205,312,312.0,0.0,0.0,0.0
2026-06-22,大里光正一期,隨到隨辦,二房型,關懷戶,55,137,370,562,0.7135416666666666,192,,,,
2026-06-23,大里光正一期,隨到隨辦,二房型,關懷戶,55,137,372,564,0.7135416666666666,192,192.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,一房型,一般戶,1412,760,1102,3275,0.3499079189686924,2172,,,,
2026-06-23,太平育賢一期,隨到隨辦,一房型,一般戶,1412,760,1102,3275,0.3499079189686924,2172,2172.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,一房型,關懷戶,440,211,465,1116,0.3241167434715822,651,,,,
2026-06-23,太平育賢一期,隨到隨辦,一房型,關懷戶,440,211,465,1116,0.3241167434715822,651,651.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,三房型,一般戶,167,82,48,297,0.3293172690763052,249,,,,
2026-06-23,太平育賢一期,隨到隨辦,三房型,一般戶,167,82,48,297,0.3293172690763052,249,249.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,三房型,關懷戶,258,88,129,475,0.2543352601156069,346,,,,
2026-06-23,太平育賢一期,隨到隨辦,三房型,關懷戶,258,88,129,475,0.2543352601156069,346,346.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,二房型,一般戶,320,260,587,1167,0.4482758620689655,580,,,,
2026-06-23,太平育賢一期,隨到隨辦,二房型,一般戶,320,260,587,1167,0.4482758620689655,580,580.0,0.0,0.0,0.0
2026-06-22,太平育賢一期,隨到隨辦,二房型,關懷戶,206,182,463,852,0.4690721649484536,388,,,,
